account_id,customer_id,account_type,currency,branch_id,open_date,status,created_at,created_by
ACC0000001,CUST000001,savings,GBP,BR0012,2019-11-20,active,2019-11-20 00:00:00,ACCOUNT_OPENING_SVC
ACC0000002,CUST000002,checking,AED,BR0008,2018-01-13,active,2018-01-13 00:00:00,ACCOUNT_OPENING_SVC
ACC0000003,CUST000002,business,AED,BR0009,2023-06-17,active,2023-06-17 00:00:00,ACCOUNT_OPENING_SVC
ACC0000004,CUST000003,savings,GBP,BR0011,2021-03-31,active,2021-03-31 00:00:00,ACCOUNT_OPENING_SVC
ACC0000005,CUST000004,savings,USD,BR0003,2021-12-16,active,2021-12-16 00:00:00,ACCOUNT_OPENING_SVC
ACC0000006,CUST000005,business,NGN,BR0026,2023-10-29,active,2023-10-29 00:00:00,ACCOUNT_OPENING_SVC
ACC0000006,CUST000005,business,NGN,BR0026,2023-10-29,active,2023-10-29 00:00:00,ACCOUNT_OPENING_SVC
ACC0000007,CUST000006,business,AED,BR0009,2018-05-05,active,2018-05-05 00:00:00,ACCOUNT_OPENING_SVC
ACC0000008,CUST000007,business,AUD,BR0029,2024-01-29,active,2024-01-29 00:00:00,ACCOUNT_OPENING_SVC
ACC0000009,CUST000008,checking,AUD,BR0029,2022-09-12,active,2022-09-12 00:00:00,ACCOUNT_OPENING_SVC
ACC0000010,CUST000009,business,SGD,BR0014,2020-08-14,active,2020-08-14 00:00:00,ACCOUNT_OPENING_SVC
ACC0000011,CUST000010,business,GBP,BR0010,2020-09-27,active,2020-09-27 00:00:00,ACCOUNT_OPENING_SVC
ACC0000012,CUST000010,savings,GBP,BR0011,2021-05-07,active,2021-05-07 00:00:00,ACCOUNT_OPENING_SVC
ACC0000013,CUST000011,checking,CNY,BR0005,2021-12-27,active,2021-12-27 00:00:00,ACCOUNT_OPENING_SVC
ACC0000014,CUST000011,business,CNY,BR0005,2024-09-22,active,2024-09-22 00:00:00,ACCOUNT_OPENING_SVC
ACC0000015,CUST000011,savings,CNY,BR0005,2021-07-21,active,2021-07-21 00:00:00,ACCOUNT_OPENING_SVC
ACC0000016,CUST000012,business,AUD,BR0030,2020-11-19,active,2020-11-19 00:00:00,ACCOUNT_OPENING_SVC
ACC0000017,CUST000012,checking,AUD,BR0029,2025-04-09,active,2025-04-09 00:00:00,ACCOUNT_OPENING_SVC
ACC0000018,CUST000013,business,GBP,BR0012,2020-05-05,active,2020-05-05 00:00:00,ACCOUNT_OPENING_SVC
ACC0000019,CUST000014,savings,CNY,,2019-02-25,active,2019-02-25 00:00:00,ACCOUNT_OPENING_SVC
ACC0000020,CUST000015,business,INR,BR0002,2020-07-26,active,2020-07-26 00:00:00,ACCOUNT_OPENING_SVC
ACC0000021,CUST000016,savings,AUD,BR0030,2026-03-02,active,2026-03-02 00:00:00,ACCOUNT_OPENING_SVC
ACC0000022,CUST000016,checking,AUD,BR0030,2025-02-10,active,2025-02-10 00:00:00,ACCOUNT_OPENING_SVC
ACC0000023,CUST000016,checking,AUD,BR0030,2019-03-25,active,2019-03-25 00:00:00,ACCOUNT_OPENING_SVC
ACC0000024,CUST000017,checking,GBP,BR0012,2018-06-06,active,2018-06-06 00:00:00,ACCOUNT_OPENING_SVC
ACC0000025,CUST000018,business,RUB,BR0027,2025-08-27,dormant,2025-08-27 00:00:00,ACCOUNT_OPENING_SVC
ACC0000026,CUST000019,savings,USD,BR0004,2023-08-25,dormant,2023-08-25 00:00:00,ACCOUNT_OPENING_SVC
ACC0000027,CUST000019,checking,USD,BR0003,2020-04-05,active,2020-04-05 00:00:00,ACCOUNT_OPENING_SVC
ACC0000028,CUST000020,checking,CAD,BR0022,2025-03-10,active,2025-03-10 00:00:00,ACCOUNT_OPENING_SVC
ACC0000029,CUST000021,savings,AUD,BR0029,2019-01-03,active,2019-01-03 00:00:00,ACCOUNT_OPENING_SVC
ACC0000030,CUST000022,business,CNY,BR0005,2024-01-17,active,2024-01-17 00:00:00,ACCOUNT_OPENING_SVC
ACC0000031,CUST000022,savings,CNY,BR0005,2022-05-10,active,2022-05-10 00:00:00,ACCOUNT_OPENING_SVC
ACC0000032,CUST000023,business,USD,BR0003,2022-08-25,active,2022-08-25 00:00:00,ACCOUNT_OPENING_SVC
ACC0000033,CUST000023,checking,USD,BR0003,2020-01-29,active,2020-01-29 00:00:00,ACCOUNT_OPENING_SVC
ACC0000034,CUST000023,business,USD,BR0003,2023-04-10,active,2023-04-10 00:00:00,ACCOUNT_OPENING_SVC
ACC0000035,CUST000024,business,GBP,BR0013,2023-12-29,active,2023-12-29 00:00:00,ACCOUNT_OPENING_SVC
ACC0000036,CUST000024,savings,GBP,BR0011,2021-04-04,active,2021-04-04 00:00:00,ACCOUNT_OPENING_SVC
ACC0000037,CUST000025,business,NGN,BR0026,2022-03-02,active,2022-03-02 00:00:00,ACCOUNT_OPENING_SVC
ACC0000038,CUST000026,checking,USD,BR0003,2021-08-09,dormant,2021-08-09 00:00:00,ACCOUNT_OPENING_SVC
ACC0000039,CUST000027,savings,RUB,BR0028,2024-09-07,active,2024-09-07 00:00:00,ACCOUNT_OPENING_SVC
ACC0000040,CUST000027,business,RUB,BR0028,2019-08-16,active,2019-08-16 00:00:00,ACCOUNT_OPENING_SVC
