txn_id,account_id,txn_ts,txn_type,amount,currency,counterparty_acct,channel,created_at,source_system
TXN00115180,ACC0002999,2026-02-11 01:49:48,wire_out,383518.41,INR,EXT-88341,online,2026-02-11 01:50:01,WIRE_SWIFT_GW
TXN00004612,ACC0009501,2026-04-26 06:38:05,transfer_in,4251.12,SGD,EXT-97418,mobile,2026-04-26 06:38:06,CORE_BANKING_V2
TXN00084466,ACC0009009,2026-04-14 15:01:54,wire_out,244394.13,RUB,EXT-44152,wire,2026-04-14 15:02:24,CORE_BANKING_V2
TXN00139342,ACC0009530,2026-01-06 04:03:06,transfer_in,3729.88,SGD,,atm,2026-01-06 04:03:10,MOBILE_GATEWAY
TXN00119135,ACC0008031,2026-02-12 05:32:15,wire_in,2207.11,USD,EXT-11269,mobile,2026-02-12 05:32:26,BRANCH_POS
TXN00099119,ACC0007183,2026-04-20T16:07:19+01:00,withdrawal,439268.92,RUB,EXT-12875,online,2026-04-20 16:07:32,CORE_BANKING_V2
TXN00014426,ACC0007407,2026-03-21T05:28:56+01:00,transfer_in,396216.9,NGN,EXT-53651,online,2026-03-21 05:28:59,MOBILE_GATEWAY
TXN00047985,ACC0005486,2026-06-28 13:34:36,wire_in,3450.81,GBP,EXT-24704,wire,2026-06-28 13:34:37,MOBILE_GATEWAY
TXN00119962,ACC0004918,2026-05-01 13:41:07,transfer_out,1201.72,USD,EXT-38090,branch,2026-05-01 13:41:19,CORE_BANKING_V2
TXN00003762,ACC0005400,2026-05-31 22:56:30,transfer_in,1056.75,EUR,EXT-17663,branch,2026-05-31 22:56:55,MOBILE_GATEWAY
TXN00121037,ACC0009744,2026-01-14 02:08:37,wire_out,4968.33,AUD,EXT-12702,wire,2026-01-14 02:08:59,BRANCH_POS
TXN00165956,ACC0009144,2026-05-08 18:52:19,deposit,5426.09,USD,EXT-39854,wire,2026-05-08 18:52:39,CORE_BANKING_V2
TXN00101587,ACC0005147,2026-06-13 11:43:53,wire_in,4196.53,EUR,,online,2026-06-13 11:44:17,MOBILE_GATEWAY
TXN00091054,ACC0002588,2026-06-09 17:35:02,transfer_in,14803.65,AED,,branch,2026-06-09 17:35:04,WIRE_SWIFT_GW
TXN00071178,ACC0010107,2026-06-07 03:06:36,deposit,19357.83,AED,EXT-77131,mobile,2026-06-07 03:06:59,BRANCH_POS
TXN00126438,ACC0005563,2026-01-31 19:25:08,wire_out,323320.08,INR,EXT-27229,wire,2026-01-31 19:25:34,MOBILE_GATEWAY
TXN00024683,ACC0000070,2026-02-07 16:55:00,withdrawal,4111.79,EUR,,online,2026-02-07 16:55:25,WIRE_SWIFT_GW
TXN00062586,ACC0002992,2026-05-14 16:59:03,withdrawal,33653.61,CNY,EXT-96361,atm,2026-05-14 16:59:07,WIRE_SWIFT_GW
TXN00027251,ACC0003804,2026-04-07 17:48:51,transfer_out,67126.49,RUB,EXT-74746,atm,2026-04-07 17:49:17,MOBILE_GATEWAY
TXN00084454,ACC0005173,2026-01-06T13:39:27+03:00,wire_in,2614.94,CAD,EXT-15041,online,2026-01-06 13:39:39,MOBILE_GATEWAY
TXN00034190,ACC0001672,2026-05-19 02:08:11,transfer_in,2608.01,USD,EXT-25297,wire,2026-05-19 02:08:15,WIRE_SWIFT_GW
TXN00147931,ACC0009172,2026-06-29 12:37:15,withdrawal,4193.27,CAD,EXT-36782,wire,2026-06-29 12:37:23,CORE_BANKING_V2
TXN00132696,ACC0010951,2026-04-30 12:37:00,wire_out,443864.81,INR,EXT-39402,branch,2026-04-30 12:37:23,MOBILE_GATEWAY
TXN00120573,ACC0005306,2026-03-15 07:33:37,transfer_out,140563.93,RUB,EXT-45465,online,2026-03-15 07:33:44,CORE_BANKING_V2
TXN00056063,ACC0000386,2026-05-16 11:35:46,wire_in,2432166.92,NGN,,mobile,2026-05-16 11:36:01,BRANCH_POS
TXN00056093,ACC0009470,2026-03-16 20:24:47,wire_out,15866.73,CNY,,branch,2026-03-16 20:25:11,BRANCH_POS
TXN00055846,ACC0004700,2026-01-06 07:09:27,wire_in,1267.85,CAD,EXT-52275,branch,2026-01-06 07:09:46,BRANCH_POS
TXN00140615,ACC0005316,2026-01-26 01:14:58,withdrawal,8168.56,AUD,EXT-83018,online,2026-01-26 01:15:06,WIRE_SWIFT_GW
TXN00091390,ACC0003336,2026-05-07 17:58:32,wire_out,6515.48,AED,EXT-18363,wire,2026-05-07 17:58:45,BRANCH_POS
TXN00153357,ACC0001114,2026-04-22 19:58:22,withdrawal,142392.07,rub,,atm,2026-04-22 19:58:51,BRANCH_POS
TXN00023549,ACC0000933,2026-05-24 11:37:13,transfer_in,2018.91,SGD,EXT-20211,mobile,2026-05-24 11:37:25,MOBILE_GATEWAY
TXN00022238,ACC0002878,2026-06-05 15:06:34,withdrawal,2545.33,GBP,,branch,2026-06-05 15:06:45,CORE_BANKING_V2
TXN00003399,ACC0001583,2026-06-12T15:34:05+01:00,transfer_in,35208.86,CNY,EXT-31068,online,2026-06-12 15:34:22,CORE_BANKING_V2
TXN00141639,ACC0003628,2026-01-28 12:51:14,withdrawal,4662.14,CAD,EXT-54072,wire,2026-01-28 12:51:39,WIRE_SWIFT_GW
TXN00139445,ACC0005465,2026-01-30T13:44:47+05:30,transfer_out,4898.79,SGD,EXT-23815,wire,2026-01-30 13:44:52,BRANCH_POS
TXN00015152,ACC0003098,2026-02-08 13:08:13,transfer_in,3583.25,CNY,,mobile,2026-02-08 13:08:37,CORE_BANKING_V2
TXN00005691,ACC0003434,2026-06-16 05:41:19,withdrawal,414152.49,RUB,EXT-78293,atm,2026-06-16 05:41:49,WIRE_SWIFT_GW
TXN00116565,ACC0001317,2026-04-29 19:20:59,transfer_in,3554.52,AUD,EXT-75381,wire,2026-04-29 19:21:04,BRANCH_POS
TXN00136017,ACC0006696,2026-01-05 07:16:57,wire_out,2792.82,SGD,EXT-54375,mobile,2026-01-05 07:17:20,BRANCH_POS
TXN00073374,ACC0000926,2026-05-21 12:56:10,transfer_out,2342.27,SGD,EXT-68333,wire,2026-05-21 12:56:32,CORE_BANKING_V2
TXN00022425,ACC0009843,2026-01-14 12:21:21,withdrawal,1771.69,GBP,EXT-18967,branch,2026-01-14 12:21:37,WIRE_SWIFT_GW
TXN00030612,ACC0005650,2026-02-28 08:03:43,deposit,8216.97,AUD,EXT-57767,mobile,2026-02-28 08:03:47,BRANCH_POS
TXN00165833,ACC0005463,2026-03-20 09:01:46,wire_out,1412.97,EUR,EXT-11127,wire,2026-03-20 09:01:50,BRANCH_POS
TXN00009420,ACC0000601,2026-01-21T01:46:06+03:00,withdrawal,16183.13,AED,EXT-17520,branch,2026-01-21 01:46:29,WIRE_SWIFT_GW
